ID,Iwad,Mapname,pwad,parameter
1,doom.wad,Ultimate Doom,Doom\Texture
2,doom.wad,Sigil,sigil.wad
3,doom.wad,Sigil 2,sigil2.wad
4,doom2.wad,Doom II: Hell on Earth,Doom\Texture
5,masterlevels.wad,Doom II: Masterlevels
6,nerve.wad,Doom II: No Rest for the Living
7,doom2.wad,Doom II: Legacy of Rust,ID1
8,tnt.wad,Final Doom: TNT:Evilution
9,plutonia.wad,Final Doom: The Plutonia Experiment
10,doom.wad,Doom 64,Doom64,1

11,doom2.wad,WoW,cchest3
12,doom2.wad,Runaway Train,Runawaytrain
13,doom2.wad,Grove,Grove
14,doom2.wad,Formalhaut,ThT
15,doom2.wad,Enterway,Strain
16,doom2.wad,ToxiCity,Toxicity
17,doom.wad,Netherworld Citadel,Neis
18,doom2.wad,Void and Rainbow,Rainbow
19,doom2.wad,Ancient Aliens,Aaliens
20,doom2.wad,TNT: Revilution,TnT
21,doom2.wad,Miasma,Miasma
22,doom2.wad,Alien Vendetta,Alienvendetta
23,doom2.wad,Impossible: A New Reality,Impossible
24,doom2.wad,Run Buddy,Run -WARP 3 -SKILL 4
25,doom2.wad,Songs of the Damned,Songs
26,doom2.wad,NOVA II: New Dawn,Nova2
27,doom.wad,INVASION... Level 2--The Upper Decks,Invasion
28,doom2.wad,The Ultimate Torment and Torture,Ultimate
29,doom2.wad,Stardate 20X6,Stardate
30,doom2.wad,Hellbound,Starport
31,doom2.wad,Going Down,Goingdown
32,doom2.wad,Requiem,Requiem
33,doom2.wad,Plutonia 2,Plutonia2
34,doom2.wad,Monster Hunter Ltd (Part I),Mohu1
35,doom2.wad,The Adventures of Square, Episodes 1 and 2,Square
36,doom2.wad,Japanese Community Project,JpChest
37,doom2.wad,Hellcore 2.0,Hellcore
38,doom2.wad,Whispers of Satan,Wos
39,doom2.wad,UAC Ultra (v1.2),UAC
40,doom2.wad,Valiant,Valiant
41,doom2.wad,Deus Vult II,Deus2 +gl_nogl 1 +compatflags 16 +dmflags 2162688
